Sample,Penetration,Salinity,Temperature,Depth,Fines,Gravel,InorgC,TOC_Sed
Long-term_2019_119_1,8.5,32,10.5,220,11.1,0,0.08,0.38
Long-term_2019_13_1,9,32,10.3,21,16.7,0,0.03,0.42
Long-term_2019_19_1,17,29,9.8,124,88.8,0,0.41,1.67
Long-term_2019_191_1,17,28,9.8,101,68.3,0.5,0.43,1.37
Long-term_2019_209R_1,6,30,10.4,20,22.6,0,0.05,0.32
Long-term_2019_21_1,11,26,9.5,21,50.7,0,0.25,0.94
Long-term_2019_222_1,15,31,10,122,60.5,2.5,0.13,1.45
Long-term_2019_252_1,16.5,30,9.4,57.5,87.7,0,0.4,2.04
Long-term_2019_265_1,18,30,9.5,110.5,97.6,0,0.34,2.14
Long-term_2019_281_1,15,28,9.2,144,96.9,0,0.12,1.4
Long-term_2019_29_1,13,32,9.2,198,93.2,0,0.33,1.66
Long-term_2019_3_1,10,31.5,9.4,220,79.7,0.3,0.17,1.45
Long-term_2019_305R_1,17,29,11.4,21,95.4,0,0,4
Long-term_2019_34_1,15,31,10.1,10.5,91.5,0,0.64,2.17
Long-term_2019_38_1,17,32,10.2,201,98.4,0,0.31,2.15
Long-term_2019_4_1,11,31,9.8,24,96.1,0,0.14,2.11
Long-term_2019_40_1,7,30,9.4,11.5,33.8,0.2,0,1.76
Long-term_2019_40005_1,17,33,9.4,24,84.7,1.1,0.19,4.72
Long-term_2019_40006_1,4,31,9.3,31,6.8,0.1,0.04,0.18
Long-term_2019_40007_1,5,29,10.5,56,10.8,3.4,0.01,0.26
Long-term_2019_40008_1,17,30,9.5,130,94,0.1,0.18,2.25
Long-term_2019_40009_1,10,30,10,27,19.4,0,0.15,0.38
Long-term_2019_40010_1,13,30,9.8,134,47.8,14,0.64,1.05
Long-term_2019_40011_1,10,32,9.7,198,79.2,0,0.22,1.54
Long-term_2019_40012_1,6,31,10.3,20,23.7,1.2,0.05,0.74
Long-term_2019_40013_1,10,33,10.8,8.5,67.6,1.7,0.1,1.03
Long-term_2019_40015_1,17,28,9.4,112,97.9,0,0.43,1.84
Long-term_2019_40016_1,16,31,10.1,4.5,92.8,0.5,0.23,2.56
Long-term_2019_40017_1,6.5,34,10.5,15,11.3,0,0.06,0.34
Long-term_2019_40018_1,17,30,10.7,123,99.3,0,0.07,2.29
Long-term_2019_40019_1,10,30,9.3,113,18.3,18.4,0.08,0.51
Long-term_2019_40020_1,11,31,9.2,86,8.1,0.8,0.05,0.21
Long-term_2019_40021_1,14,29,10.9,13,93.8,0.2,0.31,1.41
Long-term_2019_40022_1,16,31,10,21,96.4,0,0.34,2.67
Long-term_2019_40025_1,13,31,10.8,21.5,91.4,0.4,0.26,1.65
Long-term_2019_40026_1,17,32,10.8,186,99.1,0.1,0.31,2.51
Long-term_2019_40027_1,5.5,33,9.6,22.5,8.7,0.2,0.02,0.22
Long-term_2019_40028_1,15,29,10.9,8.5,90.9,0,0.15,2.78
Long-term_2019_40029_1,15,29,10,21,83.4,0.1,0.15,1.57
Long-term_2019_40030_1,17,32,9.9,12,98.3,0,0.2,3.22
Long-term_2019_40032_1,13,30,9.8,16,20.2,0.5,0,0.8
Long-term_2019_40034_1,6,31,10.8,4,2,3.2,0.04,0.12
Long-term_2019_40036_1,10,29,9.9,179,10,49.2,0.15,0.62
Long-term_2019_40037_1,17,28,10.2,54,97.9,0,0.23,1.68
Long-term_2019_40038_1,13,31,9.3,185,92.7,0,0.48,1.5
Long-term_2019_44_1,4.5,31,9.4,22,11.5,0.1,0.03,0.38
Long-term_2019_49_1,17,30,9.9,8.5,90.1,0.5,0.43,2.82
Long-term_2019_52_1,10,30,9.4,109,21.9,0.4,0.04,0.47
Long-term_2019_BLL009_1,9,30,10.1,18,26.4,0.1,0.03,0.56
Long-term_2019_HCB003_1,17,30,10.2,145,90.6,0,0.41,2.62
